45.9851;7.01777;-5.348;
47.0579;6.84452;-5.34481;
48.1558;6.67475;-5.34176;
49.2793;6.50839;-5.33884;
50.429;6.34535;-5.33606;
51.6055;6.18555;-5.33339;
52.8094;6.02892;-5.33085;
54.0415;5.87539;-5.32842;
55.3023;5.72488;-5.32611;
56.5925;5.57732;-5.32389;
57.9128;5.43263;-5.32177;
59.2639;5.29074;-5.31975;
60.6465;5.15159;-5.31782;
62.0614;5.01511;-5.31598;
63.5093;4.88122;-5.31422;
64.991;4.74986;-5.31254;
66.5073;4.62097;-5.31094;
68.0589;4.49448;-5.30941;
69.6467;4.37033;-5.30795;
71.2716;4.24845;-5.30655;
72.9344;4.12879;-5.30522;
74.6359;4.01128;-5.30395;
76.3772;3.89586;-5.30274;
78.1591;3.78248;-5.30158;
79.9826;3.67107;-5.30048;
81.8486;3.56159;-5.29943;
83.7581;3.45396;-5.29842;
85.7122;3.34815;-5.29747;
87.7119;3.24409;-5.29655;
89.7582;3.14173;-5.29568;
91.8523;3.04102;-5.29486;
93.9952;2.94191;-5.29407;
96.1881;2.84434;-5.29331;
98.4322;2.74826;-5.2926;
100.729;2.65363;-5.29192;
103.079;2.5604;-5.29127;
105.483;2.46851;-5.29065;
107.944;2.37792;-5.29006;
110.463;2.28858;-5.28951;
113.04;2.20044;-5.28898;
115.677;2.11347;-5.28847;
118.376;2.0276;-5.288;
121.138;1.94281;-5.28754;
123.964;1.85904;-5.28711;
126.856;1.77625;-5.28671;
129.815;1.6944;-5.28632;
132.844;1.61344;-5.28596;
135.943;1.53333;-5.28562;
139.115;1.45403;-5.28529;
142.36;1.3755;-5.28499;
145.682;1.2977;-5.28471;
149.081;1.22058;-5.28444;
152.559;1.1441;-5.28419;
156.118;1.06823;-5.28395;
159.76;0.992923;-5.28373;
163.487;0.91814;-5.28353;
167.301;0.843843;-5.28335;
171.205;0.769991;-5.28317;
175.199;0.696546;-5.28302;
179.286;0.623469;-5.28287;
183.469;0.550721;-5.28274;
187.749;0.478264;-5.28263;
192.13;0.40606;-5.28252;
196.612;0.33407;-5.28244;
201.199;0.262257;-5.28236;
205.893;0.190581;-5.2823;
210.697;0.119007;-5.28224;
215.612;0.0474947;-5.28221;
220.642;-0.0239927;-5.28218;
225.79;-0.0954932;-5.28217;
231.058;-0.167045;-5.28216;
236.448;-0.238685;-5.28218;
241.965;-0.310452;-5.2822;
247.61;-0.382383;-5.28223;
253.387;-0.454518;-5.28228;
259.298;-0.526893;-5.28234;
265.348;-0.599547;-5.28242;
271.538;-0.672519;-5.2825;
277.873;-0.745848;-5.2826;
284.356;-0.819571;-5.28272;
290.99;-0.893728;-5.28284;
297.779;-0.968359;-5.28298;
304.726;-1.0435;-5.28314;
311.835;-1.1192;-5.28331;
319.111;-1.19549;-5.28349;
326.555;-1.27241;-5.28369;
334.174;-1.35;-5.28391;
341.97;-1.42831;-5.28414;
349.949;-1.50737;-5.28438;
358.113;-1.58723;-5.28465;
366.468;-1.66793;-5.28493;
375.017;-1.74951;-5.28523;
383.767;-1.83202;-5.28555;
392.72;-1.91549;-5.28589;
401.882;-1.99998;-5.28625;
411.258;-2.08552;-5.28662;
420.853;-2.17217;-5.28703;
430.671;-2.25996;-5.28745;
440.719;-2.34895;-5.2879;
451.001;-2.43917;-5.28837;
461.523;-2.53068;-5.28887;
472.29;-2.62353;-5.28939;
483.309;-2.71776;-5.28994;
494.585;-2.81342;-5.29053;
506.123;-2.91056;-5.29114;
517.931;-3.00924;-5.29178;
530.015;-3.10951;-5.29245;
542.38;-3.21141;-5.29316;
555.034;-3.315;-5.29391;
567.983;-3.42033;-5.29469;
